dataset,missing_data_type,missing_rate,iteration_nr,best_inpainting_method,best_inpainting_MAPE,best_traditional_method,best_traditional_MAPE,improvement,improvement_pct,inpainting_predictions,traditional_predictions
boiler,MCAR,5,10,mtf-unet,0.0178563090970264,interpolate_pchip,0.0476980447186823,0.0298417356216559,62.563855180351936,"[535.7167358398438, 535.9534301757812, 535.7238159179688, 535.79052734375, 535.8707885742188, 535.7162475585938, 535.79052734375, 535.73193359375, 535.6177368164062, 535.8390502929688]","[536.2103881835938, 536.200439453125, 536.1002807617188, 536.0462646484375, 536.0625610351562, 536.0215454101562, 536.0625610351562, 536.0164794921875, 535.935546875, 536.0596313476562]"
boiler,MNAR,5,3,mtf-unet,0.0179018733207251,interpolate_cubic,0.047769668058149,0.0298677947374239,62.52460180603824,"[535.8651733398438, 535.8651733398438, 535.78515625, 535.7650146484375, 535.72900390625, 535.72900390625, 535.5485229492188, 535.7621459960938, 535.5485229492188, 535.6030883789062]","[536.2318725585938, 536.1972045898438, 536.092529296875, 536.0541381835938, 536.060791015625, 536.02099609375, 536.0609741210938, 536.0223999023438, 535.9293212890625, 536.04931640625]"
lake1,MAR,50,4,rp-unet,0.1918357213393345,impute_mean,0.4968421899760263,0.3050064686366918,61.389003347603996,"[425.9570007324219, 425.056396484375, 426.0420837402344, 426.5726623535156, 423.1028747558594, 423.50140380859375, 423.5914306640625, 422.6504821777344, 423.9768981933594, 424.1666870117188]","[426.6859436035156, 426.3385314941406, 425.9801635742188, 426.1714782714844, 426.1802368164063, 426.2631530761719, 426.4332275390625, 426.2305908203125, 425.9112548828125, 425.8594970703125]"
boiler,MAR,2,8,spec-unet,0.0182150685444588,impute_median,0.0459052118857346,0.0276901433412758,60.32026038829967,"[536.0525512695312, 535.9805908203125, 535.8594360351562, 535.8638916015625, 535.8980712890625, 535.8638916015625, 535.8893432617188, 535.81298828125, 535.8893432617188, 535.3953247070312]","[536.1779174804688, 536.158203125, 536.158203125, 536.0083618164062, 536.028076171875, 536.028076171875, 536.028076171875, 536.028076171875, 535.9765625, 536.028076171875]"
boiler,MNAR,2,2,rp-unet,0.0192662612695267,impute_ffill,0.0479429499918936,0.0286766887223669,59.81419317588025,"[536.0978393554688, 535.848388671875, 535.9070434570312, 535.8983154296875, 535.9185180664062, 535.8513793945312, 535.92724609375, 535.8618774414062, 535.8792114257812, 535.8792114257812]","[536.2200317382812, 536.1824951171875, 536.0894165039062, 536.0607299804688, 536.0641479492188, 536.0313720703125, 536.0702514648438, 536.0313720703125, 535.9254760742188, 536.0535278320312]"
boiler,MCAR,2,2,mtf-unet,0.0190357851198809,interpolate_akima,0.0472309462711518,0.0281951611512709,59.69637150482464,"[536.0227661132812, 536.0211791992188, 535.9288940429688, 535.8546142578125, 535.8795166015625, 535.8546142578125, 535.8720703125, 535.8745727539062, 535.9221801757812, 535.949462890625]","[536.2216186523438, 536.2003784179688, 536.0829467773438, 536.0440673828125, 536.05322265625, 536.0250244140625, 536.0682373046875, 536.0181884765625, 535.922607421875, 536.0543823242188]"
boiler,MAR,2,2,spec-unet,0.0191841037243664,impute_mean,0.0475698701370191,0.028385766412652697,59.671734084812556,"[535.98974609375, 535.98974609375, 535.98974609375, 535.933837890625, 535.933837890625, 535.9017333984375, 535.933837890625, 535.8458251953125, 535.8458251953125, 535.82373046875]","[536.241943359375, 536.241943359375, 536.0297241210938, 535.9968872070312, 535.9968872070312, 536.0297241210938, 536.0297241210938, 536.0187377929688, 535.9674072265625, 536.1558227539062]"
boiler,MNAR,5,8,rp-unet,0.0193963514932304,interpolate_index,0.047815318840993,0.0284189673477626,59.434859029735186,"[536.0028076171875, 535.940673828125, 535.7191772460938, 535.6920166015625, 535.669921875, 535.6920166015625, 535.6427612304688, 535.6427612304688, 535.6427612304688, 535.6427612304688]","[536.2167358398438, 536.1885375976562, 536.1056518554688, 536.0519409179688, 536.062744140625, 536.0294799804688, 536.0620727539062, 536.0197143554688, 535.9297485351562, 536.0553588867188]"
boiler,MCAR,2,6,rp-unet,0.0202277379460155,interpolate_polynomial,0.047970188903859,0.027742450957843497,57.83269066011899,"[535.9324340820312, 535.8084106445312, 535.8980712890625, 535.797119140625, 535.850341796875, 535.904296875, 535.9727172851562, 535.9712524414062, 535.9229736328125, 535.878173828125]","[536.2279663085938, 536.1842041015625, 536.0978393554688, 536.0637817382812, 536.0652465820312, 536.023193359375, 536.0671997070312, 536.0269165039062, 535.9221801757812, 536.0517578125]"
boiler,MAR,5,10,rp-unet,0.0197915309092338,impute_bfill,0.0467208550420444,0.0269293241328106,57.63876561885849,"[536.0234985351562, 535.5516967773438, 535.9275512695312, 535.9113159179688, 535.9113159179688, 535.8035888671875, 535.9113159179688, 535.8035888671875, 535.8035888671875, 535.8035888671875]","[536.2281494140625, 536.1102294921875, 536.0896606445312, 536.0708618164062, 536.0682983398438, 536.0297241210938, 536.0714721679688, 536.0181274414062, 535.9205932617188, 536.0562133789062]"
boiler,MCAR,5,3,mtf-unet,0.0210682857779348,interpolate_polynomial,0.0479918665853383,0.0269235808074035,56.1002993278631,"[535.7439575195312, 535.81591796875, 535.6788940429688, 535.7410278320312, 535.723876953125, 535.7508544921875, 535.6871337890625, 535.654296875, 535.6175537109375, 535.6175537109375]","[536.2220458984375, 536.2040405273438, 536.0872802734375, 536.0617065429688, 536.0617065429688, 536.0293579101562, 536.0572509765625, 536.0205688476562, 535.923583984375, 536.0639038085938]"
boiler,MAR,2,6,mtf-unet,0.0211104285137798,impute_mode,0.0476545766661332,0.0265441481523534,55.70115193409661,"[535.8431396484375, 535.9866943359375, 535.983642578125, 535.8763427734375, 535.6513061523438, 535.841064453125, 535.9495849609375, 535.8662719726562, 535.8556518554688, 535.8662719726562]","[536.1998291015625, 536.1773681640625, 535.9796142578125, 536.1198120117188, 536.1220092773438, 535.9595947265625, 536.0394287109375, 536.0000610351562, 535.96923828125, 536.1463623046875]"
