dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
lake2,MNAR,2p,3,interpolatepchip,20.867156662456864
vibr,MAR,20p,4,specunet,389.45357179977714
pump,MAR,20p,5,specsd2all4,15240679.516408723
lake2,MNAR,5p,1,gafsd2all4,882.9518658381767
pump,MCAR,20p,2,gafsd2all4,43562829.49415129
lake1,MNAR,20p,8,imputeffill,156.05360000000047
lake3,MNAR,2p,1,gafsd2all4,393.0698311073414
lake3,MAR,50p,2,gafunet,3015.375976161309
lake3,MCAR,5p,8,specsd2all4,352.52425475642025
boiler,MAR,50p,3,mtfunet,313685.31200121396
vibr,MAR,2p,7,imputemean,35.438984422433464
pump,MCAR,50p,10,rpunet,47506133.81733286
pump,MAR,50p,5,interpolateakima,2333630.219941652
lake3,MNAR,2p,5,interpolatecubic,13.757259647995312
vibr,MCAR,5p,9,imputemedian,72.98891083351899
lake1,MNAR,2p,10,interpolateindex,9.565833333333387
vibr,MAR,20p,5,gafsd2all4,505.958995314298
lake1,MCAR,5p,6,rpsd2all4,313.52014116655056
boiler,MNAR,20p,9,rpsd2all4,161917.2842350489
lake3,MNAR,20p,4,imputebfill,195.83810000000025
lake1,MNAR,20p,8,rpunet,1021.0872286504683
lake3,MAR,20p,6,interpolatepchip,216.54375250151477
lake1,MCAR,5p,6,interpolatenearest,30.489799999999548
lake3,MAR,2p,3,interpolatepolynomial,28.19715894882171
lake3,MCAR,5p,9,rpsd2all4,409.1102232299876
pump,MAR,5p,4,interpolatelinear,85197.62910459525
lake3,MNAR,2p,2,imputeffill,14.015800000000013
boiler,MNAR,5p,2,rpunet,45523.96678821386
boiler,MNAR,50p,1,imputeffill,4760.909999999983
pump,MAR,5p,7,interpolatepolynomial,104049.69640107887
lake1,MNAR,2p,3,specsd2all4,162.23589696651874
pump,MNAR,5p,5,gafsd2all4,10872053.377308935
boiler,MCAR,20p,10,mtfsd2all4,208205.06401061633
boiler,MAR,5p,8,rpunet,37290.84557703944
vibr,MNAR,50p,9,interpolatepchip,7524.826411829621
vibr,MAR,50p,6,interpolatecubic,1069.5422222060552
pump,MAR,5p,5,imputemean,4964914.532625143
pump,MAR,5p,4,interpolateakima,88359.00866888769
lake1,MAR,20p,6,gafsd2all4,2278.244099999998
boiler,MAR,20p,7,mtfsd2all4,212256.7925439445
vibr,MNAR,5p,9,mtfunet,91.2594830836535
vibr,MCAR,2p,4,rpunet,30.78440855599386
vibr,MAR,5p,2,imputeffill,84.73108062558978
pump,MCAR,20p,7,gafunet,20887613.97757903
boiler,MAR,50p,5,imputemean,203115.49779766184
lake2,MNAR,50p,3,interpolatecubic,907.9408370005209
lake1,MNAR,50p,8,imputeffill,438.7614000000002
lake3,MCAR,5p,2,mtfunet,282.2828433218234
lake2,MAR,50p,8,gafunet,2706.5400404596357
lake3,MAR,20p,7,imputebfill,253.74040000000014
lake1,MAR,20p,3,rpsd2all4,1168.1231496916662
boiler,MCAR,5p,8,specunet,71820.28176599734
vibr,MCAR,2p,1,rpsd2all4,41.58155962494281
pump,MAR,5p,9,mtfsd2all4,6481034.391881316
lake3,MNAR,20p,4,interpolatequadratic,203.5210588779756
lake2,MNAR,50p,6,interpolatepchip,672.0992785535731
lake2,MAR,5p,2,imputebfill,80.12149999999963
boiler,MAR,20p,5,interpolateakima,466.3106491234911
boiler,MAR,50p,5,interpolatepchip,1721.43038854237
lake2,MCAR,50p,6,interpolatepchip,615.0800050001719
lake3,MCAR,5p,7,specunet,348.19557147273974
lake3,MNAR,50p,5,interpolatepolynomial,488.58029797869193
vibr,MCAR,5p,5,rpsd2all4,90.1959031690333
pump,MCAR,2p,4,imputemean,1020636.0121785465
boiler,MNAR,2p,4,imputemode,5978.189999999993
lake2,MNAR,50p,3,rpsd2all4,3551.540588650006
boiler,MAR,20p,5,interpolatepchip,484.833742800353
lake3,MAR,20p,4,mtfunet,1237.8979065378987
pump,MNAR,2p,2,specunet,1229402.9150022748
pump,MNAR,50p,1,mtfsd2all4,29044424.788007516
lake1,MCAR,50p,7,specunet,3501.923563637609
pump,MNAR,2p,10,rpsd2all4,2777801.720165391
lake1,MCAR,5p,8,rpunet,309.01289799891737
lake2,MAR,2p,7,interpolateindex,22.848450000000184
boiler,MCAR,5p,7,specunet,73506.68317969065
boiler,MCAR,20p,6,imputebfill,978.0200000000029
lake2,MNAR,5p,9,imputemean,183.11591574144427
boiler,MCAR,50p,3,interpolatepolynomial,1479.8810367733709
pump,MNAR,20p,4,specsd2all4,11780234.541257815
lake3,MCAR,5p,3,interpolateindex,30.504000000000303
vibr,MAR,20p,2,interpolatepchip,368.89115403444816
vibr,MCAR,2p,9,imputemedian,28.870992656810778
lake3,MCAR,2p,10,mtfsd2all4,95.93042669162645
lake3,MNAR,5p,5,mtfunet,299.93738006944056
lake1,MCAR,5p,9,gafsd2all4,504.43923850510527
pump,MNAR,2p,5,rpunet,2878953.941340389
lake1,MCAR,2p,2,interpolatecubic,7.30941652172578
vibr,MCAR,20p,10,rpsd2all4,304.9447120556234
vibr,MNAR,50p,10,imputeffill,930.987069160039
pump,MCAR,20p,9,imputebfill,465339.22955718765
vibr,MAR,5p,10,interpolatecubic,139.77244506263284
lake2,MNAR,20p,8,gafsd2all4,2350.999200000011
boiler,MCAR,50p,7,interpolatepolynomial,1497.5457294331572
pump,MNAR,50p,8,rpunet,39534897.36329108
vibr,MNAR,5p,2,imputemode,124.30979073624067
lake1,MNAR,50p,5,imputemedian,2233.958000000007
lake1,MAR,20p,8,interpolatequadratic,134.08638022887618
lake2,MCAR,20p,10,rpunet,1031.9210712549555
lake3,MAR,5p,4,interpolatelinear,26.416549999999944
pump,MCAR,50p,10,mtfsd2all4,44555690.62115975
pump,MAR,20p,10,interpolateakima,413279.624444189
lake1,MAR,20p,7,mtfunet,1518.7223096138996
lake2,MCAR,2p,6,interpolatepolynomial,35.55764822831384
pump,MCAR,2p,5,mtfsd2all4,1767546.3329865583
lake2,MCAR,20p,8,rpsd2all4,907.4599353423795
lake2,MAR,50p,1,interpolatenearest,824.7090999999987
lake3,MNAR,5p,9,interpolatecubic,56.410590946373816
boiler,MAR,20p,2,gafunet,99181.06005750965
lake2,MCAR,20p,4,interpolateindex,218.75572999999827
lake1,MCAR,20p,8,specsd2all4,2016.5289741696547
boiler,MNAR,5p,6,interpolatepolynomial,130.2474171242676
vibr,MNAR,50p,7,interpolatelinear,881.1792426200778
boiler,MAR,50p,7,interpolatepolynomial,2003.2762895489902
lake1,MCAR,5p,1,interpolatecubic,25.149880729787185
lake3,MNAR,50p,3,interpolatecubic,542.827330042778
boiler,MAR,5p,1,imputemedian,23054.080000000005
vibr,MCAR,50p,10,interpolatepolynomial,1152.0751719281907
pump,MAR,50p,8,mtfunet,32191017.07430394
lake2,MNAR,20p,2,interpolateindex,220.112763333334
vibr,MNAR,20p,8,interpolatelinear,335.81268446116485
lake2,MAR,50p,7,imputemean,2560.416118786124
lake2,MNAR,50p,7,interpolatenearest,758.3911000000005
lake3,MAR,20p,4,mtfsd2all4,1046.2946916566316
lake1,MAR,5p,3,imputemedian,277.9791999999998
lake2,MAR,20p,5,interpolatequadratic,375.51519481496075
vibr,MAR,5p,3,imputeffill,126.76502121872926
lake2,MNAR,2p,10,imputebfill,31.19949999999983
boiler,MCAR,5p,3,interpolatepolynomial,132.43481922067326
lake3,MCAR,2p,8,mtfsd2all4,97.67443692558629
vibr,MNAR,2p,10,interpolatelinear,34.03835408849107
lake3,MCAR,5p,8,imputemedian,136.71569999999994
boiler,MCAR,2p,1,imputemode,6418.359999999995
lake3,MAR,50p,10,gafunet,2192.6281400060557
