dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
lake2,MCAR,20p,1,imputeffill,251.4901000000009
lake1,MAR,5p,1,imputebfill,31.380799999999965
lake3,MAR,20p,3,imputemean,926.473649458483
lake2,MCAR,2p,1,imputebfill,25.836899999999673
lake3,MAR,5p,1,rpsd2all4,398.58574463661
lake2,MAR,5p,2,rpsd2all4,308.57471934788157
lake3,MNAR,5p,1,interpolatenearest,35.11020000000002
pump,MNAR,20p,1,interpolatenearest,463544.64014100004
pump,MAR,2p,1,gafsd2all4,5784661.174342323
lake1,MCAR,5p,1,gafsd2all4,495.6592999999995
lake1,MAR,2p,1,imputebfill,6.175399999999797
pump,MAR,5p,2,interpolatepchip,85273.1853104057
pump,MAR,5p,3,interpolatelinear,86519.83767533334
lake3,MAR,2p,2,interpolatequadratic,37.505090584412955
boiler,MCAR,5p,1,imputemedian,14849.61
pump,MAR,5p,2,imputemedian,5633054.658918
lake3,MAR,2p,3,imputemode,119.1948999999999
pump,MAR,2p,1,imputeffill,41097.202121855466
vibr,MAR,5p,1,interpolateindex,110.7868071863535
pump,MAR,5p,3,interpolatepchip,86629.08799426635
vibr,MNAR,2p,3,interpolatenearest,60.83512810368671
boiler,MCAR,2p,1,imputemean,6341.711442897138
pump,MAR,20p,2,imputemean,18986736.28376446
lake1,MNAR,20p,2,interpolateakima,109.95730469341936
pump,MNAR,2p,2,imputebfill,44733.92987
lake2,MNAR,2p,3,imputemode,106.84259999999938
lake2,MCAR,20p,1,interpolatecubic,275.2592766793739
lake1,MNAR,2p,2,imputebfill,24.54540000000003
vibr,MAR,2p,3,imputebfill,39.37122764708959
boiler,MCAR,2p,2,imputeffill,80.56000000000165
lake2,MCAR,2p,3,interpolatelinear,24.70899999999972
lake1,MAR,20p,2,interpolateakima,82.61133822989154
pump,MNAR,5p,1,imputeffill,118060.72553835939
lake2,MCAR,5p,1,interpolatenearest,56.43490000000031
lake2,MNAR,20p,2,imputeffill,288.72790000000066
pump,MCAR,2p,2,specsd2all4,1170467.0616884597
lake2,MCAR,5p,2,imputemedian,182.3197
lake1,MAR,20p,1,imputemean,1212.3098413357386
lake2,MCAR,20p,2,interpolatecubic,288.7005420458339
pump,MCAR,2p,2,imputebfill,44651.797060000004
lake1,MNAR,2p,3,interpolateakima,8.506378035511432
lake2,MAR,20p,3,imputeffill,333.49169999999845
lake3,MNAR,2p,2,interpolateakima,9.568642362105123
lake2,MNAR,5p,1,imputemedian,203.09060000000022
lake3,MAR,5p,3,interpolatepchip,35.20855633641651
lake3,MAR,5p,2,interpolatepchip,48.58686326933656
lake3,MNAR,5p,2,mtfsd2all4,285.6322194122554
lake2,MAR,2p,3,imputebfill,39.127899999999954
lake2,MCAR,20p,1,interpolatelinear,201.97229333333303
lake1,MAR,2p,3,interpolateakima,8.969593266418599
vibr,MNAR,5p,3,imputebfill,138.7899370943239
vibr,MCAR,20p,3,interpolateindex,365.8858337417778
vibr,MCAR,5p,2,interpolatepchip,68.03405339349894
boiler,MNAR,5p,1,specsd2all4,77181.07521825044
lake3,MCAR,20p,1,imputebfill,197.23840000000007
lake2,MCAR,5p,3,gafsd2all4,837.111388739371
vibr,MCAR,5p,1,imputemedian,86.19558200219043
lake1,MAR,5p,2,interpolatecubic,38.228425891054314
pump,MAR,20p,2,interpolatelinear,401155.2968821767
vibr,MNAR,5p,3,interpolatepchip,116.40007243417877
pump,MNAR,5p,2,interpolateakima,99613.13284359359
boiler,MAR,2p,1,gafunet,10092.267461276428
lake3,MCAR,20p,2,interpolatenearest,174.30500000000026
boiler,MNAR,2p,2,interpolatecubic,53.36604894256959
vibr,MAR,20p,1,interpolatepchip,382.1191822279429
lake2,MAR,20p,2,interpolateakima,256.7927977007146
lake1,MCAR,20p,2,gafsd2all4,1996.2506999999985
boiler,MAR,20p,2,interpolatelinear,443.37800505052087
pump,MAR,20p,2,specsd2all4,14652601.73253279
lake1,MAR,2p,2,interpolatelinear,18.206016666666812
lake1,MCAR,20p,1,imputemedian,777.3864000000001
boiler,MCAR,20p,3,gafsd2all4,223209.40309889842
lake1,MAR,2p,2,interpolatequadratic,20.066040472119028
pump,MAR,2p,3,interpolateakima,34880.13363034841
vibr,MCAR,5p,2,rpsd2all4,83.99859799244783
lake1,MCAR,2p,3,interpolatecubic,10.20321277238196
pump,MCAR,20p,1,interpolateindex,387729.540882951
lake3,MAR,5p,3,rpsd2all4,454.0235701668487
lake2,MNAR,5p,3,mtfsd2all4,415.25559233252454
vibr,MCAR,5p,1,interpolateakima,104.36330845063434
lake1,MCAR,2p,1,interpolatequadratic,13.023432754210376
lake2,MNAR,5p,2,imputemode,229.095899999999
vibr,MNAR,20p,3,imputemode,586.4633736624113
lake3,MAR,5p,3,interpolatequadratic,40.79190686281609
lake3,MAR,2p,1,imputemedian,107.28500000000003
lake1,MCAR,5p,1,interpolateakima,18.988856979095715
pump,MCAR,5p,1,imputeffill,113546.78698000003
vibr,MNAR,5p,1,mtfsd2all4,96.11709713503438
lake2,MCAR,20p,1,interpolateindex,201.97229333333303
