dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,9,interpolate_cubic,XGBoost,0.04956617898323121,0.2655795898437418,0.2705399326796338
boiler,MAR,2,9,interpolate_index,XGBoost,0.048707329353352924,0.2609775390624918,0.26727393204603067
boiler,MAR,2,9,interpolate_linear,XGBoost,0.048707329353352924,0.2609775390624918,0.26727393204603067
boiler,MAR,2,9,interpolate_nearest,XGBoost,0.04899780492083464,0.2625339355468668,0.2677552931110524
boiler,MAR,2,9,interpolate_pchip,XGBoost,0.048696865907132465,0.2609226074218668,0.26682754909401224
boiler,MAR,2,9,interpolate_polynomial,XGBoost,0.04891439648342205,0.2620883789062418,0.26673439078347
boiler,MAR,2,9,interpolate_quadratic,XGBoost,0.04891439648342205,0.2620883789062418,0.26673439078347
boiler,MAR,2,9,mtf-unet,XGBoost,0.03309788893927398,0.17734106445311681,0.18732213213755294
boiler,MAR,2,9,mtfsd2all4,XGBoost,0.032060267303733736,0.17178076171874182,0.19078149292514043
boiler,MAR,2,9,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,9,rp-unet,XGBoost,0.034696500055412416,0.18590429687499183,0.2062480195557265
boiler,MAR,2,9,rpsd2all4,XGBoost,0.03677894228610771,0.1970615234374918,0.2101861609405756
boiler,MAR,2,9,spec-unet,XGBoost,0.028444963476349193,0.152410888671875,0.16889679836432997
boiler,MAR,2,9,specsd2all4,XGBoost,0.023336148494210646,0.12503393554686681,0.1519752850003025
boiler,MAR,2,10,gaf-unet,XGBoost,0.04999783218302238,0.26789282226561684,0.27437281021708126
boiler,MAR,2,10,gafsd2all4,XGBoost,0.09759832353784867,0.5229160156249918,0.6453679834810507
boiler,MAR,2,10,impute_bfill,XGBoost,0.04849432383808321,0.25983618164061684,0.2647957241152367
boiler,MAR,2,10,impute_ffill,XGBoost,0.0486127709621808,0.2604709472656168,0.2657536983001591
boiler,MAR,2,10,impute_mean,XGBoost,0.04985190782677134,0.2671115722656168,0.27301289162200093
boiler,MAR,2,10,impute_median,XGBoost,0.04640497433584339,0.2486423339843668,0.2531185747378954
boiler,MAR,2,10,impute_mode,XGBoost,0.050029352165725904,0.2680576171874918,0.28222332008900985
boiler,MAR,2,10,interpolate_akima,XGBoost,0.04901929701826345,0.2626499023437418,0.26873146732881076
boiler,MAR,2,10,interpolate_cubic,XGBoost,0.04835638688769441,0.2590976562499918,0.2636461698873297
boiler,MAR,2,10,interpolate_index,XGBoost,0.04942954812785548,0.2648471679687418,0.27164653257101207
boiler,MAR,2,10,interpolate_linear,XGBoost,0.04942954812785548,0.2648471679687418,0.27164653257101207
boiler,MAR,2,10,interpolate_nearest,XGBoost,0.04938163041625151,0.2645908203124918,0.2694563347682479
boiler,MAR,2,10,interpolate_pchip,XGBoost,0.04893742142846336,0.2622104492187418,0.2666918373497175
boiler,MAR,2,10,interpolate_polynomial,XGBoost,0.04960149984061099,0.2657687988281168,0.2708139169109165
boiler,MAR,2,10,interpolate_quadratic,XGBoost,0.04960149984061099,0.2657687988281168,0.2708139169109165
boiler,MAR,2,10,mtf-unet,XGBoost,0.03321762293485109,0.17798120117186045,0.19263083356808117
boiler,MAR,2,10,mtfsd2all4,XGBoost,0.03996603426254233,0.21413916015624182,0.22485693319666145
boiler,MAR,2,10,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,10,rp-unet,XGBoost,0.03925003733053948,0.2103061523437418,0.22047882148993597
boiler,MAR,2,10,rpsd2all4,XGBoost,0.039644103390861024,0.2124179687499918,0.2311231775356324
boiler,MAR,2,10,spec-unet,XGBoost,0.037108494028755004,0.1988315429687418,0.20485708225314742
boiler,MAR,2,10,specsd2all4,XGBoost,0.033440422075978055,0.17917211914061681,0.1925033859862314
boiler,MAR,5,1,gaf-unet,XGBoost,0.13614926740258934,0.7294833984374918,0.8324520553029774
boiler,MAR,5,1,gafsd2all4,XGBoost,0.11232590217576748,0.6018466796874918,0.7432211274062147
boiler,MAR,5,1,impute_bfill,XGBoost,0.047561742340776494,0.2548435058593668,0.25762800220870885
boiler,MAR,5,1,impute_ffill,XGBoost,0.04709363502984603,0.2523349609374918,0.2547822372602617
boiler,MAR,5,1,impute_mean,XGBoost,0.05580813766525401,0.29902075195311684,0.31608495929635416
boiler,MAR,5,1,impute_median,XGBoost,0.06335634746398706,0.3394504394531168,0.3995242372470942
boiler,MAR,5,1,impute_mode,XGBoost,0.06648499553081826,0.3562167968749918,0.3897780845624862
boiler,MAR,5,1,interpolate_akima,XGBoost,0.04608197461502872,0.24691503906249182,0.24986425316843863
boiler,MAR,5,1,interpolate_cubic,XGBoost,0.04606731731597955,0.2468356933593668,0.24979803849856214
boiler,MAR,5,1,interpolate_index,XGBoost,0.04649094155105142,0.24910620117186683,0.2516539114316732
boiler,MAR,5,1,interpolate_linear,XGBoost,0.04649094155105142,0.24910620117186683,0.2516539114316732
boiler,MAR,5,1,interpolate_nearest,XGBoost,0.04702640636026141,0.2519748535156168,0.2543704623384612
boiler,MAR,5,1,interpolate_pchip,XGBoost,0.045586162535019174,0.24426000976561682,0.2470115311791423
boiler,MAR,5,1,interpolate_polynomial,XGBoost,0.047219098480550156,0.2530063476562418,0.2556289520167968
boiler,MAR,5,1,interpolate_quadratic,XGBoost,0.047219098480550156,0.2530063476562418,0.2556289520167968
boiler,MAR,5,1,mtf-unet,XGBoost,0.1806495459156519,0.9679072265624882,1.1876472400985498
boiler,MAR,5,1,mtfsd2all4,XGBoost,0.05564490077753532,0.2981235351562418,0.3894658206718425
boiler,MAR,5,1,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,5,1,rp-unet,XGBoost,0.08568684357482398,0.45906860351562956,0.8267753438787462
boiler,MAR,5,1,rpsd2all4,XGBoost,0.030291283251324446,0.16229931640625636,0.2083985061716972
boiler,MAR,5,1,spec-unet,XGBoost,0.598602369939198,3.207259033203127,3.765720216987294
boiler,MAR,5,1,specsd2all4,XGBoost,1.0425601936742837,5.5860852050781205,6.937279277881376
boiler,MAR,5,2,gaf-unet,XGBoost,0.047591564882022395,0.2549960937499918,0.26313253795128333
