dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,4,impute_mean,XGBoost,0.052103032846620795,0.2791721191406168,0.28543536031662897
boiler,MAR,2,4,impute_median,HoltWinters,0.007877193389745745,0.0422053978373242,0.04718373497938917
boiler,MAR,2,4,impute_median,XGBoost,0.04771900179996105,0.25568579101561684,0.26350639479208654
boiler,MAR,2,4,impute_mode,HoltWinters,0.00774556325193693,0.041500099021254754,0.04651854055602777
boiler,MAR,2,4,impute_mode,XGBoost,0.04778522533501659,0.2560336914062418,0.27671780408915875
boiler,MAR,2,4,interpolate_akima,HoltWinters,0.012248864575897737,0.0656249452225893,0.07753901229548665
boiler,MAR,2,4,interpolate_akima,XGBoost,0.04820376284480711,0.25827978515624184,0.2635610171867225
boiler,MAR,2,4,interpolate_cubic,HoltWinters,0.012169556947941827,0.06520003919689543,0.07706551538595088
boiler,MAR,2,4,interpolate_cubic,XGBoost,0.04855801115447162,0.2601779785156168,0.2659911449388483
boiler,MAR,2,4,interpolate_index,HoltWinters,0.012264024616953615,0.06570616157459881,0.07764983253399108
boiler,MAR,2,4,interpolate_index,XGBoost,0.048732259162349696,0.2611118164062418,0.2658288139760761
boiler,MAR,2,4,interpolate_linear,HoltWinters,0.012264024616953615,0.06570616157459881,0.07764983253399108
boiler,MAR,2,4,interpolate_linear,XGBoost,0.048732259162349696,0.2611118164062418,0.2658288139760761
boiler,MAR,2,4,interpolate_nearest,HoltWinters,0.011663151446618308,0.0624867938470743,0.07429362584798212
boiler,MAR,2,4,interpolate_nearest,XGBoost,0.04791549488447872,0.2567355957031168,0.26282183592585057
boiler,MAR,2,4,interpolate_pchip,HoltWinters,0.0122295875645463,0.06552166335280844,0.07742866847471827
boiler,MAR,2,4,interpolate_pchip,XGBoost,0.04924263598308747,0.2638461914062418,0.26998136603992295
boiler,MAR,2,4,interpolate_polynomial,HoltWinters,0.012187355684970804,0.06529540030268208,0.0771688874309505
boiler,MAR,2,4,interpolate_polynomial,XGBoost,0.04905581303124039,0.2628452148437418,0.2682657948987238
boiler,MAR,2,4,interpolate_quadratic,HoltWinters,0.012187355684970804,0.06529540030268208,0.0771688874309505
boiler,MAR,2,4,interpolate_quadratic,XGBoost,0.04905581303124039,0.2628452148437418,0.2682657948987238
boiler,MAR,2,4,mtf-unet,HoltWinters,0.01444971349548271,0.07742001441295088,0.08291581575683515
boiler,MAR,2,4,mtf-unet,XGBoost,0.04062043807700644,0.21764257812499183,0.22850389984566774
boiler,MAR,2,4,original,HoltWinters,0.012091092726891425,0.06477962339364467,0.07668835572590069
boiler,MAR,2,4,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,4,rp-unet,HoltWinters,0.014163188000503422,0.0758845899596281,0.08078518266123266
boiler,MAR,2,4,rp-unet,XGBoost,0.03454941604256139,0.18512304687499181,0.19686501314173263
boiler,MAR,2,4,spec-unet,HoltWinters,0.006849135779611117,0.03669591836305699,0.04557899224289272
boiler,MAR,2,4,spec-unet,XGBoost,0.027734325274341245,0.14860180664061318,0.1642898960871469
boiler,MAR,5,1,gaf-unet,HoltWinters,0.18142516748483467,0.9720811981594238,0.9835044101845397
boiler,MAR,5,1,gaf-unet,XGBoost,0.1192093082499251,0.6386936035156168,0.8397365239717389
boiler,MAR,5,1,impute_bfill,HoltWinters,0.00412857883447543,0.022122745550268517,0.02643927690596815
boiler,MAR,5,1,impute_bfill,XGBoost,0.047561742340776494,0.2548435058593668,0.25762800220870885
boiler,MAR,5,1,impute_ffill,HoltWinters,0.004250103548369906,0.02277377916821024,0.026549576885827424
boiler,MAR,5,1,impute_ffill,XGBoost,0.04709363502984603,0.2523349609374918,0.2547822372602617
boiler,MAR,5,1,impute_mean,HoltWinters,0.05677711417062352,0.3042114736525832,0.3100200139373453
boiler,MAR,5,1,impute_mean,XGBoost,0.05580813766525401,0.29902075195311684,0.31608495929635416
boiler,MAR,5,1,impute_median,HoltWinters,0.061600828403773095,0.3300570735352494,0.3361103004439372
boiler,MAR,5,1,impute_median,XGBoost,0.06335634746398706,0.3394504394531168,0.3995242372470942
boiler,MAR,5,1,impute_mode,HoltWinters,0.041666549467531976,0.22324862302028806,0.22839440325892352
boiler,MAR,5,1,impute_mode,XGBoost,0.06648499553081826,0.3562167968749918,0.3897780845624862
boiler,MAR,5,1,interpolate_akima,HoltWinters,0.0041017791978369585,0.02197911031773856,0.026123869373773013
boiler,MAR,5,1,interpolate_akima,XGBoost,0.04608197461502872,0.24691503906249182,0.24986425316843863
boiler,MAR,5,1,interpolate_cubic,HoltWinters,0.004111654172658697,0.022032051332325865,0.02630509692944319
boiler,MAR,5,1,interpolate_cubic,XGBoost,0.04606731731597955,0.2468356933593668,0.24979803849856214
boiler,MAR,5,1,interpolate_index,HoltWinters,0.004097004946240486,0.021953515707480165,0.02603532002407968
boiler,MAR,5,1,interpolate_index,XGBoost,0.04649094155105142,0.24910620117186683,0.2516539114316732
boiler,MAR,5,1,interpolate_linear,HoltWinters,0.004097004946240486,0.021953515707480165,0.02603532002407968
boiler,MAR,5,1,interpolate_linear,XGBoost,0.04649094155105142,0.24910620117186683,0.2516539114316732
boiler,MAR,5,1,interpolate_nearest,HoltWinters,0.004126819597419662,0.02211331201626763,0.026322720594041258
boiler,MAR,5,1,interpolate_nearest,XGBoost,0.04702640636026141,0.2519748535156168,0.2543704623384612
boiler,MAR,5,1,interpolate_pchip,HoltWinters,0.016350055784017777,0.08760396746394009,0.09112518144914554
boiler,MAR,5,1,interpolate_pchip,XGBoost,0.045586162535019174,0.24426000976561682,0.2470115311791423
boiler,MAR,5,1,interpolate_polynomial,HoltWinters,0.004110088573960499,0.02202365833421709,0.0262776245261112
boiler,MAR,5,1,interpolate_polynomial,XGBoost,0.047219098480550156,0.2530063476562418,0.2556289520167968
boiler,MAR,5,1,interpolate_quadratic,HoltWinters,0.004110088573960499,0.02202365833421709,0.0262776245261112
